config	s/token	trunk_binds	trunk_reads	trunk_GB	l2_hit_pct	l2_read_GB	l2_write_GB	out_ids
standard	45.69	24	23	15.26	78.9	10.62	3.39	8611,82784,82784,82784
loop_block4	32.38	24	23	15.26	100.0	13.99	0.00	8611,82784,82784,82784
