config	s/token	trunk_binds	trunk_reads	trunk_GB	l2_hit_pct	l2_read_GB	l2_write_GB	out_ids
standard	74.44	-	-	28.18	76.1	11.98	4.30	8611,82784,51524,3154
loop_block4	39.59	-	-	28.18	100.0	16.23	0.00	8611,82784,51524,3154
