config	s/token	trunk_binds	trunk_reads	trunk_GB	l2_hit_pct	l2_read_GB	l2_write_GB	out_ids
standard	36.22	48	45	28.18	100.0	16.30	0.00	8611,82784,51524,3154
loop_block4	33.41	48	45	28.18	100.0	16.25	0.00	8611,82784,51524,3154
